city,lab_type,count
San Donà di Piave,Fab Lab,1
San Francisco,DIYBio Lab,1
San Francisco,Fab Lab,1
San Giovanni in Persiceto,Fab Lab,1
San Ildefonso,Fab Lab,1
San Jose,Fab Lab,1
San Juan,Fab Lab,1
San Lorenzo,Fab Lab,2
San Martino Dall'argine,Fab Lab,1
San Nicolás de los Garza,Fab Lab,1
San Pedro del Pinatar,Fab Lab,1
San Ramón,Fab Lab,1
San Salvador,Fab Lab,1
San Salvador de Jujuy,Fab Lab,1
San Salvatore,Fab Lab,2
San Vicente del Raspeig,Fab Lab,1
Sant Cugat del Vallès,Fab Lab,1
Santa Cruz de Tenerife,Fab Lab,1
Santa Cruz de la Sierra,Fab Lab,1
Santa Fe,Fab Lab,1
Santa Rita do Sapucaí,Fab Lab,1
Santander,Fab Lab,1
Santarém,Fab Lab,2
Santiago,Fab Lab,4
Santiago de Surco,Fab Lab,1
Santurtzi ( Antes Bermeo),Fab Lab,1
Sao Paulo,DIYBio Lab,3
Sarasota,Fab Lab,1
Sarreguemines,Fab Lab,1
Sassari,Fab Lab,3
Sausalito,Fab Lab,1
Sauðárkrókur,Fab Lab,1
Schwabach,Fab Lab,1
Seattle,DIYBio Lab,2
Seogwipo-si,Fab Lab,1
Seoul,Fab Lab,1
Settimo Torinese,Fab Lab,1
Shaker Heights,Fab Lab,1
Shanghai,Fab Lab,2
Shanghai ,Fab Lab,1
Shenzhen,Fab Lab,5
Shenzhen ,Fab Lab,1
Sherbrooke,Fab Lab,1
Shibuya,Fab Lab,1
Siegen,Fab Lab,1
Siena,Fab Lab,1
Singapore,DIYBio Lab,1
Singapore,Fab Lab,3
Sitges ,Fab Lab,1
Sofia,Fab Lab,1
Somerville,Fab Lab,2
Sorocaba,Fab Lab,1
Soshanguve,Fab Lab,1
Soustons,Fab Lab,1
South Milwaukee,Fab Lab,1
Southfield,Fab Lab,1
Spilamberto,Fab Lab,1
St-Lambert,Fab Lab,1
St. Petersburg,Fab Lab,1
Stockholm,DIYBio Lab,1
Stoughton,Fab Lab,1
Strasbourg,Fab Lab,2
Sturtevant,Fab Lab,1
Sulbiate,Fab Lab,1
Sunderland,Fab Lab,1
Sunnyvale,DIYBio Lab,1
Surabaya,Fab Lab,1
"Surquillo, Lima",Fab Lab,1
Suzhou ,Fab Lab,1
Switzerland / Slovenia,DIYBio Lab,1
Sydney,DIYBio Lab,1
São Caetano do Sul,Fab Lab,1
São Paulo,Fab Lab,6
TRIESTE,Fab Lab,1
Tacoma,Fab Lab,1
Tagbilaran City,Fab Lab,1
Taibon Agordino,Fab Lab,1
Tainan City,Fab Lab,2
Taipei,Fab Lab,2
Taipei City,Fab Lab,2
Takoradi,Fab Lab,1
Talca,Fab Lab,1
Tampa,Fab Lab,1
Tampere,Fab Lab,1
Tanger,Fab Lab,1
Tangeri,Fab Lab,1
Taoyuan City,Fab Lab,1
Tbilisi,Fab Lab,11
Tecumseh,Fab Lab,1
Tehran,Fab Lab,3
Tel Aviv-Yafo,Fab Lab,1
Tel-Aviv,DIYBio Lab,2
Tembisa,Fab Lab,1
Terni,Fab Lab,2
Terrassa,Fab Lab,1
The Hague,Fab Lab,1
Thetford mines,Fab Lab,1
